epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,5768.64,1.34921,0.73486,1.30246,0.56487,0.75231,0.65309,0.37911,1.50029,0.87036,1.27034,0.000398917,0.000398917,0.000398917
93,5812.44,1.3472,0.74706,1.30349,0.83818,0.62096,0.67703,0.38857,1.47142,0.88497,1.26119,0.000389445,0.000389445,0.000389445
94,5856.3,1.33106,0.72516,1.28212,0.62356,0.70358,0.67183,0.40961,1.46871,0.83674,1.25673,0.000380017,0.000380017,0.000380017
95,5900.14,1.32938,0.71743,1.29829,0.61014,0.64997,0.65647,0.36169,1.49447,0.91786,1.2857,0.000370637,0.000370637,0.000370637
96,5944.63,1.33288,0.72193,1.30335,0.57396,0.69303,0.66212,0.39774,1.48928,0.99504,1.24944,0.000361309,0.000361309,0.000361309
97,5988.31,1.32596,0.71501,1.29724,0.85824,0.62107,0.67865,0.40714,1.46731,0.91664,1.24156,0.000352037,0.000352037,0.000352037
98,6032.04,1.3236,0.6989,1.28116,0.62791,0.61034,0.62178,0.36771,1.5149,0.98962,1.2511,0.000342823,0.000342823,0.000342823
99,6075.8,1.31263,0.70184,1.27529,0.70143,0.66819,0.68767,0.40798,1.47492,0.85586,1.24979,0.000333672,0.000333672,0.000333672
100,6119.65,1.31736,0.68957,1.28263,0.62918,0.69083,0.6888,0.40853,1.48858,0.885,1.26655,0.000324587,0.000324587,0.000324587
101,6163.19,1.31358,0.67583,1.2831,0.57705,0.67395,0.66976,0.38442,1.48339,0.84705,1.23294,0.000315572,0.000315572,0.000315572
102,6206.92,1.30468,0.66957,1.27885,0.63521,0.6603,0.6719,0.40894,1.49672,0.92491,1.2955,0.000306629,0.000306629,0.000306629
103,6250.6,1.30004,0.69004,1.28946,0.61888,0.72904,0.70018,0.39945,1.48362,0.81966,1.22804,0.000297763,0.000297763,0.000297763
104,6294.28,1.29841,0.66935,1.2638,0.6333,0.66,0.66331,0.38657,1.51005,0.89624,1.28393,0.000288977,0.000288977,0.000288977
105,6338.08,1.30434,0.68427,1.26998,0.61846,0.59044,0.63073,0.38832,1.45594,0.82069,1.21827,0.000280275,0.000280275,0.000280275
106,6381.74,1.30104,0.66726,1.26457,0.67758,0.64054,0.67267,0.38719,1.50026,0.93644,1.2657,0.000271659,0.000271659,0.000271659
107,6425.63,1.29719,0.67536,1.28044,0.52891,0.74047,0.62483,0.39305,1.45163,0.78825,1.21792,0.000263132,0.000263132,0.000263132
108,6469.34,1.27938,0.66164,1.26562,0.71487,0.66253,0.69258,0.40445,1.47533,0.83909,1.23889,0.0002547,0.0002547,0.0002547
109,6513.05,1.29292,0.67397,1.27727,0.59211,0.70018,0.66405,0.39928,1.48128,0.85217,1.23375,0.000246363,0.000246363,0.000246363
110,6556.86,1.278,0.65829,1.25941,0.60972,0.68905,0.68144,0.40887,1.47284,0.89845,1.23858,0.000238127,0.000238127,0.000238127
111,6600.59,1.27825,0.65718,1.25659,0.5721,0.73816,0.65503,0.37708,1.46591,0.82929,1.22247,0.000229993,0.000229993,0.000229993
112,6644.35,1.28843,0.65006,1.26009,0.64141,0.6679,0.66635,0.39915,1.45149,0.83603,1.23111,0.000221965,0.000221965,0.000221965
113,6687.97,1.27407,0.64265,1.24113,0.55404,0.73721,0.63817,0.38947,1.4645,0.8224,1.23185,0.000214046,0.000214046,0.000214046
114,6731.68,1.27376,0.6483,1.25767,0.5789,0.73734,0.6851,0.39927,1.45665,0.79184,1.22453,0.00020624,0.00020624,0.00020624
115,6775.45,1.26699,0.64397,1.2553,0.62536,0.65994,0.678,0.41799,1.44008,0.80074,1.21127,0.000198548,0.000198548,0.000198548
116,6819.22,1.26269,0.6473,1.23975,0.57037,0.72306,0.66921,0.40049,1.45553,0.80132,1.22526,0.000190975,0.000190975,0.000190975
117,6862.85,1.2755,0.65096,1.23772,0.56712,0.7211,0.6531,0.38674,1.45121,0.81278,1.22243,0.000183523,0.000183523,0.000183523
118,6906.52,1.26592,0.63223,1.25181,0.60572,0.72063,0.65454,0.39861,1.42647,0.76589,1.20692,0.000176195,0.000176195,0.000176195
119,6950.23,1.25741,0.63785,1.24394,0.60313,0.70247,0.68353,0.40745,1.42824,0.77028,1.21455,0.000168994,0.000168994,0.000168994
